TransactionID,Amount,CustomerID,Timestamp,MerchantID,TransactionAmount,AnomalyScore,FraudIndicator,Category,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,MerchantName,Location
1,55.53033443,1952,1/1/2022 0:00,2701,79.41360746,0.686699464,0,Other,Customer 1952,50,Address 1952,2869.689912,8/9/2024,0,Merchant 2701,Location 2701
2,12.88118019,1027,1/1/2022 1:00,2070,12.05308715,0.081748871,0,Online,Customer 1027,46,Address 1027,9527.947107,1/27/2022,0,Merchant 2070,Location 2070
3,50.17632152,1955,1/1/2022 2:00,2238,33.31035719,0.02385683,0,Travel,Customer 1955,34,Address 1955,9288.355525,8/12/2024,0,Merchant 2238,Location 2238
4,41.63400105,1796,1/1/2022 3:00,2879,46.12111729,0.876994348,0,Travel,Customer 1796,33,Address 1796,5588.049942,3/6/2024,0,Merchant 2879,Location 2879
5,78.12285327,1946,1/1/2022 4:00,2966,54.05161801,0.034058773,0,Other,Customer 1946,18,Address 1946,7324.785332,8/3/2024,0,Merchant 2966,Location 2966
6,86.94708413,1204,1/1/2022 5:00,2757,34.54513807,0.121172899,0,Food,Customer 1204,45,Address 1204,3152.247787,7/23/2022,0,Merchant 2757,Location 2757
7,51.14709648,1311,1/1/2022 6:00,2096,55.38311282,0.109891676,0,Food,Customer 1311,25,Address 1311,9253.478917,11/7/2022,0,Merchant 2096,Location 2096
8,56.16398431,1693,1/1/2022 7:00,2493,17.85587786,0.780534207,0,Travel,Customer 1693,27,Address 1693,8765.035861,11/24/2023,0,Merchant 2493,Location 2493
9,37.18241172,1347,1/1/2022 8:00,2612,75.6599445,0.010470905,1,Retail,Customer 1347,20,Address 1347,8935.007146,12/13/2022,0,Merchant 2612,Location 2612
10,17.24540904,1574,1/1/2022 9:00,2638,67.93187884,0.02937627,0,Other,Customer 1574,55,Address 1574,5541.197921,7/28/2023,0,Merchant 2638,Location 2638
11,86.18094791,1424,1/1/2022 10:00,2007,23.89562271,0.083455395,0,Other,Customer 1424,37,Address 1424,4344.549864,2/28/2023,0,Merchant 2007,Location 2007
12,95.55400892,1302,1/1/2022 11:00,2746,17.79722202,0.451734945,0,Food,Customer 1302,54,Address 1302,2670.113015,10/29/2022,0,Merchant 2746,Location 2746
